,Unnamed: 0_x,tconst,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,directors,writers,actor,actress,archive_footage,archive_sound,cinematographer,composer,director_pr,editor,producer,production_designer,self,writer_pr,concat,Unnamed: 0_y,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,ROI_percent,ROI_usd,year,month,inflation,worldwide_gross_inf,domestic_gross_inf,production_budget_inf,ROI_USD_inf
1355,99284,tt5804314,Let There Be Light,Let There Be Light,2017,100.0,['Drama'],4.8,2179.0,['nm0001757'],"['nm0420966', 'nm0330108']","['nm0001757', 'nm0736263']","['nm0420966', 'nm0037702']",,,['nm10371900'],['nm0003363'],,['nm0222203'],"['nm2117800', 'nm0006786']",,,['nm0330108'],Let There Be Light2017,4702,3,"Oct 27, 2017",Let There Be Light,3000000,7233471,7241309,1.4137696666666666,4241309,2017,October,1.11,8037852.990000001,8029152.81,3330000.0000000005,4707852.99
1356,105742,tt6184774,Let There Be Light,Let There Be Light,2017,80.0,['Documentary'],6.7,127.0,"['nm3901669', 'nm1117383']",['nm1117383'],,,,,,['nm9185288'],"['nm1117383', 'nm3901669']",['nm6933393'],['nm2913613'],,"['nm6000955', 'nm9185287', 'nm9767058', 'nm9185286']",,Let There Be Light2017,4702,3,"Oct 27, 2017",Let There Be Light,3000000,7233471,7241309,1.4137696666666666,4241309,2017,October,1.11,8037852.990000001,8029152.81,3330000.0000000005,4707852.99
1357,99427,tt5811420,Oddball,Oddball,2016,5.0,['Documentary'],6.4,5.0,['nm3910226'],['nm3910226'],,,,,['nm3680295'],,['nm3910226'],,,,,,Oddball2016,4062,63,"Dec 6, 2016",Oddball,7000000,0,10237229,0.4624612857142858,3237229,2016,December,1.14,11670441.06,0.0,7979999.999999999,3690441.06
1358,99852,tt5834262,Hotel Artemis,Hotel Artemis,2018,94.0,"['Action', 'Drama', 'Sci-Fi']",6.1,30586.0,['nm1510800'],['nm1510800'],"['nm1176985', 'nm1250791']","['nm0000149', 'nm1154749']",,,,['nm0553498'],['nm1510800'],,"['nm4051169', 'nm0180508', 'nm0686887', 'nm2132113']",,,,Hotel Artemis2018,3114,15,"Jun 8, 2018",Hotel Artemis,15000000,6708137,12758799,-0.1494134,-2241201,2018,June,1.09,13907090.91,7311869.33,16350000.000000002,-2442909.0900000017
1359,101497,tt5932728,The Professor and the Madman,The Professor and the Madman,2019,124.0,"['Biography', 'Drama', 'Mystery']",7.4,10383.0,['nm1731154'],"['nm0000958', 'nm0464548', 'nm1731154', 'nm2278762']","['nm0000154', 'nm0000576']","['nm1754059', 'nm0000383']",,,,,['nm1731154'],,"['nm3074201', 'nm1291566']",,,"['nm0000958', 'nm0464548', 'nm2278762']",The Professor and the Madman2019,2325,26,"May 10, 2019",The Professor and the Madman,25000000,0,5227233,-0.79091068,-19772767,2019,May,1.07,5593139.3100000005,0.0,26750000.0,-21156860.69
1360,101670,tt5941692,Miss Bala,Miss Bala,2019,104.0,"['Action', 'Crime', 'Drama']",5.5,3738.0,['nm0362566'],['nm3722546'],['nm0215281'],"['nm1752221', 'nm10441873', 'nm0661087']",,,['nm0613870'],['nm0373588'],['nm0362566'],,"['nm0190427', 'nm0592746']",,,['nm3722546'],Miss Bala2019,3080,81,"Feb 1, 2019",Miss Bala,15000000,14998027,15362298,0.0241532,362298,2019,February,1.07,16437658.86,16047888.89,16050000.000000002,387658.8599999994
1361,102059,tt5968394,Captive State,Captive State,2019,109.0,"['Sci-Fi', 'Thriller']",6.9,28780.0,['nm1012501'],"['nm0066464', 'nm1012501']","['nm0000422', 'nm5480894', 'nm3718007']",['nm0267812'],,,['nm3643519'],['nm1387379'],['nm1012501'],['nm1430655'],['nm0188396'],,,['nm0066464'],Captive State2019,2296,97,"Mar 15, 2019",Captive State,25000000,5958315,8993300,-0.6402680000000001,-16006700,2019,March,1.07,9622831.0,6375397.050000002,26750000.0,-17127169.0
1362,102363,tt5990474,Columbus,Columbus,2017,104.0,['Drama'],7.2,10735.0,['nm3226379'],['nm3226379'],['nm0158626'],"['nm4726634', 'nm0000205', 'nm0000405']",,,,,['nm3226379'],,"['nm0583948', 'nm0719491', 'nm0101684', 'nm4025008', 'nm3361826']",,,,Columbus2017,5392,93,"Aug 4, 2017",Columbus,700000,1017107,1110511,0.5864442857142858,410511,2017,August,1.11,1232667.2100000002,1128988.77,777000.0000000001,455667.2100000001
1363,102533,tt6000478,"Roman J. Israel, Esq.","Roman J. Israel, Esq.",2017,122.0,"['Crime', 'Drama', 'Thriller']",6.4,23632.0,['nm0319659'],['nm0319659'],"['nm0000243', 'nm0268199']","['nm0252238', 'nm0336171']",,,['nm0005696'],['nm0006133'],['nm0319659'],['nm0319673'],"['nm0085542', 'nm0289048']",,,,"Roman J. Israel, Esq.2017",2439,40,"Nov 17, 2017","Roman J. Israel, Esq.",22000000,11962712,12967012,-0.4105903636363637,-9032988,2017,November,1.11,14393383.320000002,13278610.32,24420000.000000004,-10026616.680000003
1364,102572,tt6003368,Diary of a Wimpy Kid: The Long Haul,Diary of a Wimpy Kid: The Long Haul,2017,91.0,"['Comedy', 'Family']",4.4,5635.0,['nm0101047'],"['nm2732149', 'nm0101047']","['nm6099602', 'nm0779866', 'nm3340182']",['nm0000224'],,,['nm0725072'],['nm0790481'],['nm0101047'],,"['nm1749221', 'nm0800922']",,,['nm2732149'],Diary of a Wimpy Kid: The Long Haul2017,2426,27,"May 19, 2017",Diary of a Wimpy Kid: The Long Haul,22000000,20738724,35609577,0.6186171363636364,13609577,2017,May,1.11,39526630.47000001,23019983.64,24420000.000000004,15106630.470000004
